Hobby,Personality,Stream,Career_Goal,Recommended_Courses,Nearby_Colleges,College_Websites,Course_Type,Average_Fees
coding,Analytical,Science,Software Developer,B.Tech in Computer Science,IIT Bombay | IIIT Hyderabad | VIT Vellore,https://www.iitb.ac.in | https://www.iiit.ac.in | https://vit.ac.in,full-time,309996
coding,Leadership,Commerce,Entrepreneur,BBA in Entrepreneurship,Christ University | Shri Ram College of Commerce | NMIMS Mumbai,https://christuniversity.in | https://www.srcc.edu | https://www.nmims.edu,full-time,285235
coding,Leadership,Commerce,Entrepreneur,Entrepreneurship Development Program,Christ University | Shri Ram College of Commerce | NMIMS Mumbai,https://christuniversity.in | https://www.srcc.edu | https://www.nmims.edu,part-time,34256
reading,Leadership,Commerce,Entrepreneur,BBA in Entrepreneurship,Shri Ram College of Commerce | Christ University | Symbiosis Pune,https://www.srcc.edu | https://christuniversity.in | https://www.siu.edu.in,full-time,281444
reading,Leadership,Commerce,Entrepreneur,Entrepreneurship Development Program,Shri Ram College of Commerce | Christ University | Symbiosis Pune,https://www.srcc.edu | https://christuniversity.in | https://www.siu.edu.in,part-time,64524
drawing,Leadership,Commerce,Entrepreneur,BBA in Entrepreneurship,Symbiosis Pune | Shri Ram College of Commerce | Christ University,https://www.siu.edu.in | https://www.srcc.edu | https://christuniversity.in,full-time,257320
drawing,Leadership,Commerce,Entrepreneur,Entrepreneurship Development Program,Symbiosis Pune | Shri Ram College of Commerce | Christ University,https://www.siu.edu.in | https://www.srcc.edu | https://christuniversity.in,part-time,20290
public speaking,Leadership,Commerce,Entrepreneur,BBA in Entrepreneurship,Mumbai University | Symbiosis Pune | NMIMS Mumbai,https://mu.ac.in | https://www.siu.edu.in | https://www.nmims.edu,full-time,195427
public speaking,Leadership,Commerce,Entrepreneur,Entrepreneurship Development Program,Mumbai University | Symbiosis Pune | NMIMS Mumbai,https://mu.ac.in | https://www.siu.edu.in | https://www.nmims.edu,part-time,30327
research,Leadership,Commerce,Entrepreneur,BBA in Entrepreneurship,Mumbai University | Shri Ram College of Commerce | Christ University,https://mu.ac.in | https://www.srcc.edu | https://christuniversity.in,full-time,199730
research,Leadership,Commerce,Entrepreneur,Entrepreneurship Development Program,Mumbai University | Shri Ram College of Commerce | Christ University,https://mu.ac.in | https://www.srcc.edu | https://christuniversity.in,part-time,67536
social work,Leadership,Commerce,Entrepreneur,BBA in Entrepreneurship,NMIMS Mumbai | Christ University | Shri Ram College of Commerce,https://www.nmims.edu | https://christuniversity.in | https://www.srcc.edu,full-time,225030
social work,Leadership,Commerce,Entrepreneur,Entrepreneurship Development Program,NMIMS Mumbai | Christ University | Shri Ram College of Commerce,https://www.nmims.edu | https://christuniversity.in | https://www.srcc.edu,part-time,50893
designing,Leadership,Commerce,Entrepreneur,BBA in Entrepreneurship,NMIMS Mumbai | Mumbai University | Christ University,https://www.nmims.edu | https://mu.ac.in | https://christuniversity.in,full-time,328214
designing,Leadership,Commerce,Entrepreneur,Entrepreneurship Development Program,NMIMS Mumbai | Mumbai University | Christ University,https://www.nmims.edu | https://mu.ac.in | https://christuniversity.in,part-time,56485
gaming,Leadership,Commerce,Entrepreneur,BBA in Entrepreneurship,Mumbai University | Symbiosis Pune | Shri Ram College of Commerce,https://mu.ac.in | https://www.siu.edu.in | https://www.srcc.edu,full-time,265681
gaming,Leadership,Commerce,Entrepreneur,Entrepreneurship Development Program,Mumbai University | Symbiosis Pune | Shri Ram College of Commerce,https://mu.ac.in | https://www.siu.edu.in | https://www.srcc.edu,part-time,70740
coding,Analytical,Commerce,Bank PO,B.Com,St. Xavier's Mumbai | SRCC Delhi | Loyola College Chennai,https://xaviers.edu | https://www.srcc.edu | https://loyolacollege.edu,full-time,241577
coding,Analytical,Commerce,Bank PO,Bank PO Coaching Program,Symbiosis Pune | Mumbai University | NMIMS Mumbai,https://www.siu.edu.in | https://mu.ac.in | https://www.nmims.edu,part-time,78074
reading,Analytical,Commerce,Bank PO,B.Com,St. Xavier's Mumbai | SRCC Delhi | Loyola College Chennai,https://xaviers.edu | https://www.srcc.edu | https://loyolacollege.edu,full-time,303692
reading,Analytical,Commerce,Bank PO,Bank PO Coaching Program,Mumbai University | Shri Ram College of Commerce | Symbiosis Pune,https://mu.ac.in | https://www.srcc.edu | https://www.siu.edu.in,part-time,77925
drawing,Analytical,Commerce,Bank PO,B.Com,St. Xavier's Mumbai | SRCC Delhi | Loyola College Chennai,https://xaviers.edu | https://www.srcc.edu | https://loyolacollege.edu,full-time,205602
drawing,Analytical,Commerce,Bank PO,Bank PO Coaching Program,NMIMS Mumbai | Shri Ram College of Commerce | Mumbai University,https://www.nmims.edu | https://www.srcc.edu | https://mu.ac.in,part-time,28910
public speaking,Analytical,Commerce,Bank PO,B.Com,St. Xavier's Mumbai | SRCC Delhi | Loyola College Chennai,https://xaviers.edu | https://www.srcc.edu | https://loyolacollege.edu,full-time,324872
public speaking,Analytical,Commerce,Bank PO,Bank PO Coaching Program,Mumbai University | Symbiosis Pune | Christ University,https://mu.ac.in | https://www.siu.edu.in | https://christuniversity.in,part-time,52654
research,Analytical,Commerce,Bank PO,B.Com,St. Xavier's Mumbai | SRCC Delhi | Loyola College Chennai,https://xaviers.edu | https://www.srcc.edu | https://loyolacollege.edu,full-time,265884
research,Analytical,Commerce,Bank PO,Bank PO Coaching Program,Shri Ram College of Commerce | NMIMS Mumbai | Symbiosis Pune,https://www.srcc.edu | https://www.nmims.edu | https://www.siu.edu.in,part-time,20289
social work,Analytical,Commerce,Bank PO,B.Com,St. Xavier's Mumbai | SRCC Delhi | Loyola College Chennai,https://xaviers.edu | https://www.srcc.edu | https://loyolacollege.edu,full-time,323163
social work,Analytical,Commerce,Bank PO,Bank PO Coaching Program,Symbiosis Pune | Shri Ram College of Commerce | Christ University,https://www.siu.edu.in | https://www.srcc.edu | https://christuniversity.in,part-time,59501
designing,Analytical,Commerce,Bank PO,B.Com,St. Xavier's Mumbai | SRCC Delhi | Loyola College Chennai,https://xaviers.edu | https://www.srcc.edu | https://loyolacollege.edu,full-time,312883
designing,Analytical,Commerce,Bank PO,Bank PO Coaching Program,Christ University | NMIMS Mumbai | Mumbai University,https://christuniversity.in | https://www.nmims.edu | https://mu.ac.in,part-time,49234
gaming,Analytical,Commerce,Bank PO,B.Com,St. Xavier's Mumbai | SRCC Delhi | Loyola College Chennai,https://xaviers.edu | https://www.srcc.edu | https://loyolacollege.edu,full-time,182043
gaming,Analytical,Commerce,Bank PO,Bank PO Coaching Program,NMIMS Mumbai | Mumbai University | Symbiosis Pune,https://www.nmims.edu | https://mu.ac.in | https://www.siu.edu.in,part-time,65745
coding,Creative,Commerce,Digital Marketer,BBA in Marketing,Symbiosis Pune | Christ University | LPU,https://www.siu.edu.in | https://christuniversity.in | https://www.lpu.in,full-time,168768
coding,Creative,Commerce,Digital Marketer,Diploma in Digital Marketing,Christ University | Symbiosis Pune | Mumbai University,https://christuniversity.in | https://www.siu.edu.in | https://mu.ac.in,part-time,15716
reading,Creative,Commerce,Digital Marketer,BBA in Marketing,Symbiosis Pune | Christ University | LPU,https://www.siu.edu.in | https://christuniversity.in | https://www.lpu.in,full-time,237976
reading,Creative,Commerce,Digital Marketer,Diploma in Digital Marketing,Mumbai University | Shri Ram College of Commerce | NMIMS Mumbai,https://mu.ac.in | https://www.srcc.edu | https://www.nmims.edu,part-time,30214
drawing,Creative,Commerce,Digital Marketer,BBA in Marketing,Symbiosis Pune | Christ University | LPU,https://www.siu.edu.in | https://christuniversity.in | https://www.lpu.in,full-time,228985
drawing,Creative,Commerce,Digital Marketer,Diploma in Digital Marketing,Symbiosis Pune | Christ University | Shri Ram College of Commerce,https://www.siu.edu.in | https://christuniversity.in | https://www.srcc.edu,part-time,72802
public speaking,Creative,Commerce,Digital Marketer,BBA in Marketing,Symbiosis Pune | Christ University | LPU,https://www.siu.edu.in | https://christuniversity.in | https://www.lpu.in,full-time,313548
public speaking,Creative,Commerce,Digital Marketer,Diploma in Digital Marketing,Christ University | Shri Ram College of Commerce | Symbiosis Pune,https://christuniversity.in | https://www.srcc.edu | https://www.siu.edu.in,part-time,78150
research,Creative,Commerce,Digital Marketer,BBA in Marketing,Symbiosis Pune | Christ University | LPU,https://www.siu.edu.in | https://christuniversity.in | https://www.lpu.in,full-time,330576
research,Creative,Commerce,Digital Marketer,Diploma in Digital Marketing,Mumbai University | Symbiosis Pune | NMIMS Mumbai,https://mu.ac.in | https://www.siu.edu.in | https://www.nmims.edu,part-time,51266
social work,Creative,Commerce,Digital Marketer,BBA in Marketing,Symbiosis Pune | Christ University | LPU,https://www.siu.edu.in | https://christuniversity.in | https://www.lpu.in,full-time,346732
social work,Creative,Commerce,Digital Marketer,Diploma in Digital Marketing,Mumbai University | Shri Ram College of Commerce | NMIMS Mumbai,https://mu.ac.in | https://www.srcc.edu | https://www.nmims.edu,part-time,79117
designing,Creative,Commerce,Digital Marketer,BBA in Marketing,Symbiosis Pune | Christ University | LPU,https://www.siu.edu.in | https://christuniversity.in | https://www.lpu.in,full-time,240165
designing,Creative,Commerce,Digital Marketer,Diploma in Digital Marketing,Shri Ram College of Commerce | Christ University | NMIMS Mumbai,https://www.srcc.edu | https://christuniversity.in | https://www.nmims.edu,part-time,67579
gaming,Creative,Commerce,Digital Marketer,BBA in Marketing,Symbiosis Pune | Christ University | LPU,https://www.siu.edu.in | https://christuniversity.in | https://www.lpu.in,full-time,193986
gaming,Creative,Commerce,Digital Marketer,Diploma in Digital Marketing,Shri Ram College of Commerce | Mumbai University | NMIMS Mumbai,https://www.srcc.edu | https://mu.ac.in | https://www.nmims.edu,part-time,20938
coding,Leadership,Commerce,Hotel Manager,BHM (Bachelor of Hotel Management),IHM Mumbai | Manipal University | LPU,https://ihmmumbai.org | https://manipal.edu | https://www.lpu.in,full-time,257196
coding,Leadership,Commerce,Hotel Manager,Diploma in Hotel Management,Mumbai University | Christ University | Symbiosis Pune,https://mu.ac.in | https://christuniversity.in | https://www.siu.edu.in,part-time,40321
reading,Leadership,Commerce,Hotel Manager,BHM (Bachelor of Hotel Management),IHM Mumbai | Manipal University | LPU,https://ihmmumbai.org | https://manipal.edu | https://www.lpu.in,full-time,101704
reading,Leadership,Commerce,Hotel Manager,Diploma in Hotel Management,Mumbai University | Shri Ram College of Commerce | Christ University,https://mu.ac.in | https://www.srcc.edu | https://christuniversity.in,part-time,41020
drawing,Leadership,Commerce,Hotel Manager,BHM (Bachelor of Hotel Management),IHM Mumbai | Manipal University | LPU,https://ihmmumbai.org | https://manipal.edu | https://www.lpu.in,full-time,182188
drawing,Leadership,Commerce,Hotel Manager,Diploma in Hotel Management,Symbiosis Pune | Mumbai University | Christ University,https://www.siu.edu.in | https://mu.ac.in | https://christuniversity.in,part-time,52375
public speaking,Leadership,Commerce,Hotel Manager,BHM (Bachelor of Hotel Management),IHM Mumbai | Manipal University | LPU,https://ihmmumbai.org | https://manipal.edu | https://www.lpu.in,full-time,198203
public speaking,Leadership,Commerce,Hotel Manager,Diploma in Hotel Management,Mumbai University | Christ University | Shri Ram College of Commerce,https://mu.ac.in | https://christuniversity.in | https://www.srcc.edu,part-time,16976
research,Leadership,Commerce,Hotel Manager,BHM (Bachelor of Hotel Management),IHM Mumbai | Manipal University | LPU,https://ihmmumbai.org | https://manipal.edu | https://www.lpu.in,full-time,95939
research,Leadership,Commerce,Hotel Manager,Diploma in Hotel Management,Shri Ram College of Commerce | Symbiosis Pune | Christ University,https://www.srcc.edu | https://www.siu.edu.in | https://christuniversity.in,part-time,25550
social work,Leadership,Commerce,Hotel Manager,BHM (Bachelor of Hotel Management),IHM Mumbai | Manipal University | LPU,https://ihmmumbai.org | https://manipal.edu | https://www.lpu.in,full-time,166836
social work,Leadership,Commerce,Hotel Manager,Diploma in Hotel Management,Shri Ram College of Commerce | Symbiosis Pune | Christ University,https://www.srcc.edu | https://www.siu.edu.in | https://christuniversity.in,part-time,69078
designing,Leadership,Commerce,Hotel Manager,BHM (Bachelor of Hotel Management),IHM Mumbai | Manipal University | LPU,https://ihmmumbai.org | https://manipal.edu | https://www.lpu.in,full-time,126548
designing,Leadership,Commerce,Hotel Manager,Diploma in Hotel Management,Symbiosis Pune | Shri Ram College of Commerce | Mumbai University,https://www.siu.edu.in | https://www.srcc.edu | https://mu.ac.in,part-time,20231
gaming,Leadership,Commerce,Hotel Manager,BHM (Bachelor of Hotel Management),IHM Mumbai | Manipal University | LPU,https://ihmmumbai.org | https://manipal.edu | https://www.lpu.in,full-time,183001
gaming,Leadership,Commerce,Hotel Manager,Diploma in Hotel Management,Symbiosis Pune | Shri Ram College of Commerce | Mumbai University,https://www.siu.edu.in | https://www.srcc.edu | https://mu.ac.in,part-time,38036
coding,Creative,Commerce,Event Manager,BBA in Event Management,Symbiosis Pune | Christ University | NMIMS Mumbai,https://www.siu.edu.in | https://christuniversity.in | https://www.nmims.edu,full-time,285373
coding,Creative,Commerce,Event Manager,Diploma in Event Management,Symbiosis Pune | Christ University | NMIMS Mumbai,https://www.siu.edu.in | https://christuniversity.in | https://www.nmims.edu,part-time,48402
reading,Creative,Commerce,Event Manager,BBA in Event Management,Mumbai University | Shri Ram College of Commerce | Christ University,https://mu.ac.in | https://www.srcc.edu | https://christuniversity.in,full-time,200971
reading,Creative,Commerce,Event Manager,Diploma in Event Management,Mumbai University | Shri Ram College of Commerce | Christ University,https://mu.ac.in | https://www.srcc.edu | https://christuniversity.in,part-time,16111
drawing,Creative,Commerce,Event Manager,BBA in Event Management,Shri Ram College of Commerce | Mumbai University | Christ University,https://www.srcc.edu | https://mu.ac.in | https://christuniversity.in,full-time,186593
drawing,Creative,Commerce,Event Manager,Diploma in Event Management,Shri Ram College of Commerce | Mumbai University | Christ University,https://www.srcc.edu | https://mu.ac.in | https://christuniversity.in,part-time,55096
public speaking,Creative,Commerce,Event Manager,BBA in Event Management,Christ University | Mumbai University | Symbiosis Pune,https://christuniversity.in | https://mu.ac.in | https://www.siu.edu.in,full-time,339033
public speaking,Creative,Commerce,Event Manager,Diploma in Event Management,Christ University | Mumbai University | Symbiosis Pune,https://christuniversity.in | https://mu.ac.in | https://www.siu.edu.in,part-time,79373
research,Creative,Commerce,Event Manager,BBA in Event Management,Mumbai University | Symbiosis Pune | NMIMS Mumbai,https://mu.ac.in | https://www.siu.edu.in | https://www.nmims.edu,full-time,237580
research,Creative,Commerce,Event Manager,Diploma in Event Management,Mumbai University | Symbiosis Pune | NMIMS Mumbai,https://mu.ac.in | https://www.siu.edu.in | https://www.nmims.edu,part-time,68154
social work,Creative,Commerce,Event Manager,BBA in Event Management,Shri Ram College of Commerce | NMIMS Mumbai | Symbiosis Pune,https://www.srcc.edu | https://www.nmims.edu | https://www.siu.edu.in,full-time,160937
social work,Creative,Commerce,Event Manager,Diploma in Event Management,Shri Ram College of Commerce | NMIMS Mumbai | Symbiosis Pune,https://www.srcc.edu | https://www.nmims.edu | https://www.siu.edu.in,part-time,58958
designing,Creative,Commerce,Event Manager,BBA in Event Management,Christ University | Symbiosis Pune | NMIMS Mumbai,https://christuniversity.in | https://www.siu.edu.in | https://www.nmims.edu,full-time,200432
designing,Creative,Commerce,Event Manager,Diploma in Event Management,Christ University | Symbiosis Pune | NMIMS Mumbai,https://christuniversity.in | https://www.siu.edu.in | https://www.nmims.edu,part-time,35363
gaming,Creative,Commerce,Event Manager,BBA in Event Management,Mumbai University | Symbiosis Pune | Shri Ram College of Commerce,https://mu.ac.in | https://www.siu.edu.in | https://www.srcc.edu,full-time,343112
gaming,Creative,Commerce,Event Manager,Diploma in Event Management,Mumbai University | Symbiosis Pune | Shri Ram College of Commerce,https://mu.ac.in | https://www.siu.edu.in | https://www.srcc.edu,part-time,31634
coding,Creative,Arts,Graphic Designer,B.Des in Graphic Design,NID Ahmedabad | Pearl Academy | MIT Institute of Design,https://nid.edu | https://pearlacademy.com | https://www.mitid.edu.in,full-time,195769
coding,Creative,Arts,Graphic Designer,Diploma in Graphic Design,TISS Mumbai | FTII Pune | Delhi University,https://www.tiss.edu | https://www.ftii.ac.in | https://www.du.ac.in,part-time,31551
reading,Creative,Arts,Graphic Designer,B.Des in Graphic Design,NID Ahmedabad | Pearl Academy | MIT Institute of Design,https://nid.edu | https://pearlacademy.com | https://www.mitid.edu.in,full-time,340646
reading,Creative,Arts,Graphic Designer,Diploma in Graphic Design,JNU Delhi | FTII Pune | TISS Mumbai,https://www.jnu.ac.in | https://www.ftii.ac.in | https://www.tiss.edu,part-time,51346
drawing,Creative,Arts,Graphic Designer,B.Des in Graphic Design,NID Ahmedabad | Pearl Academy | MIT Institute of Design,https://nid.edu | https://pearlacademy.com | https://www.mitid.edu.in,full-time,153445
drawing,Creative,Arts,Graphic Designer,Diploma in Graphic Design,FTII Pune | NIFT Delhi | TISS Mumbai,https://www.ftii.ac.in | https://www.nift.ac.in | https://www.tiss.edu,part-time,53807
public speaking,Creative,Arts,Graphic Designer,B.Des in Graphic Design,NID Ahmedabad | Pearl Academy | MIT Institute of Design,https://nid.edu | https://pearlacademy.com | https://www.mitid.edu.in,full-time,319128
public speaking,Creative,Arts,Graphic Designer,Diploma in Graphic Design,Delhi University | NIFT Delhi | JNU Delhi,https://www.du.ac.in | https://www.nift.ac.in | https://www.jnu.ac.in,part-time,50679
research,Creative,Arts,Graphic Designer,B.Des in Graphic Design,NID Ahmedabad | Pearl Academy | MIT Institute of Design,https://nid.edu | https://pearlacademy.com | https://www.mitid.edu.in,full-time,152199
research,Creative,Arts,Graphic Designer,Diploma in Graphic Design,FTII Pune | Delhi University | TISS Mumbai,https://www.ftii.ac.in | https://www.du.ac.in | https://www.tiss.edu,part-time,21643
social work,Creative,Arts,Graphic Designer,B.Des in Graphic Design,NID Ahmedabad | Pearl Academy | MIT Institute of Design,https://nid.edu | https://pearlacademy.com | https://www.mitid.edu.in,full-time,326114
social work,Creative,Arts,Graphic Designer,Diploma in Graphic Design,FTII Pune | Delhi University | NIFT Delhi,https://www.ftii.ac.in | https://www.du.ac.in | https://www.nift.ac.in,part-time,67513
designing,Creative,Arts,Graphic Designer,B.Des in Graphic Design,NID Ahmedabad | Pearl Academy | MIT Institute of Design,https://nid.edu | https://pearlacademy.com | https://www.mitid.edu.in,full-time,99210
designing,Creative,Arts,Graphic Designer,Diploma in Graphic Design,NIFT Delhi | TISS Mumbai | FTII Pune,https://www.nift.ac.in | https://www.tiss.edu | https://www.ftii.ac.in,part-time,64061
gaming,Creative,Arts,Graphic Designer,B.Des in Graphic Design,NID Ahmedabad | Pearl Academy | MIT Institute of Design,https://nid.edu | https://pearlacademy.com | https://www.mitid.edu.in,full-time,191621
gaming,Creative,Arts,Graphic Designer,Diploma in Graphic Design,TISS Mumbai | JNU Delhi | Delhi University,https://www.tiss.edu | https://www.jnu.ac.in | https://www.du.ac.in,part-time,40232
coding,Creative,Arts,Fashion Designer,B.Des in Fashion Design,NIFT Delhi | Pearl Academy | Amity University,https://nift.ac.in | https://pearlacademy.com | https://www.amity.edu,full-time,116698
coding,Creative,Arts,Fashion Designer,Diploma in Fashion Design,TISS Mumbai | NIFT Delhi | Delhi University,https://www.tiss.edu | https://www.nift.ac.in | https://www.du.ac.in,part-time,63970
reading,Creative,Arts,Fashion Designer,B.Des in Fashion Design,NIFT Delhi | Pearl Academy | Amity University,https://nift.ac.in | https://pearlacademy.com | https://www.amity.edu,full-time,305683
reading,Creative,Arts,Fashion Designer,Diploma in Fashion Design,NIFT Delhi | FTII Pune | TISS Mumbai,https://www.nift.ac.in | https://www.ftii.ac.in | https://www.tiss.edu,part-time,47517
drawing,Creative,Arts,Fashion Designer,B.Des in Fashion Design,NIFT Delhi | Pearl Academy | Amity University,https://nift.ac.in | https://pearlacademy.com | https://www.amity.edu,full-time,207484
drawing,Creative,Arts,Fashion Designer,Diploma in Fashion Design,FTII Pune | TISS Mumbai | JNU Delhi,https://www.ftii.ac.in | https://www.tiss.edu | https://www.jnu.ac.in,part-time,60010
public speaking,Creative,Arts,Fashion Designer,B.Des in Fashion Design,NIFT Delhi | Pearl Academy | Amity University,https://nift.ac.in | https://pearlacademy.com | https://www.amity.edu,full-time,164159
public speaking,Creative,Arts,Fashion Designer,Diploma in Fashion Design,FTII Pune | Delhi University | TISS Mumbai,https://www.ftii.ac.in | https://www.du.ac.in | https://www.tiss.edu,part-time,59692
research,Creative,Arts,Fashion Designer,B.Des in Fashion Design,NIFT Delhi | Pearl Academy | Amity University,https://nift.ac.in | https://pearlacademy.com | https://www.amity.edu,full-time,93776
research,Creative,Arts,Fashion Designer,Diploma in Fashion Design,TISS Mumbai | FTII Pune | Delhi University,https://www.tiss.edu | https://www.ftii.ac.in | https://www.du.ac.in,part-time,79233
social work,Creative,Arts,Fashion Designer,B.Des in Fashion Design,NIFT Delhi | Pearl Academy | Amity University,https://nift.ac.in | https://pearlacademy.com | https://www.amity.edu,full-time,262614
social work,Creative,Arts,Fashion Designer,Diploma in Fashion Design,NIFT Delhi | JNU Delhi | TISS Mumbai,https://www.nift.ac.in | https://www.jnu.ac.in | https://www.tiss.edu,part-time,55579
designing,Creative,Arts,Fashion Designer,B.Des in Fashion Design,NIFT Delhi | Pearl Academy | Amity University,https://nift.ac.in | https://pearlacademy.com | https://www.amity.edu,full-time,332934
designing,Creative,Arts,Fashion Designer,Diploma in Fashion Design,FTII Pune | TISS Mumbai | JNU Delhi,https://www.ftii.ac.in | https://www.tiss.edu | https://www.jnu.ac.in,part-time,68631
gaming,Creative,Arts,Fashion Designer,B.Des in Fashion Design,NIFT Delhi | Pearl Academy | Amity University,https://nift.ac.in | https://pearlacademy.com | https://www.amity.edu,full-time,326348
gaming,Creative,Arts,Fashion Designer,Diploma in Fashion Design,FTII Pune | TISS Mumbai | JNU Delhi,https://www.ftii.ac.in | https://www.tiss.edu | https://www.jnu.ac.in,part-time,68270
coding,Creative,Arts,Interior Designer,B.Des in Interior Design,NID Ahmedabad | Pearl Academy | LPU,https://nid.edu | https://pearlacademy.com | https://www.lpu.in,full-time,191389
coding,Creative,Arts,Interior Designer,Diploma in Interior Design,TISS Mumbai | JNU Delhi | Delhi University,https://www.tiss.edu | https://www.jnu.ac.in | https://www.du.ac.in,part-time,71192
reading,Creative,Arts,Interior Designer,B.Des in Interior Design,NID Ahmedabad | Pearl Academy | LPU,https://nid.edu | https://pearlacademy.com | https://www.lpu.in,full-time,300210
reading,Creative,Arts,Interior Designer,Diploma in Interior Design,Delhi University | FTII Pune | NIFT Delhi,https://www.du.ac.in | https://www.ftii.ac.in | https://www.nift.ac.in,part-time,59904
drawing,Creative,Arts,Interior Designer,B.Des in Interior Design,NID Ahmedabad | Pearl Academy | LPU,https://nid.edu | https://pearlacademy.com | https://www.lpu.in,full-time,109211
drawing,Creative,Arts,Interior Designer,Diploma in Interior Design,TISS Mumbai | Delhi University | FTII Pune,https://www.tiss.edu | https://www.du.ac.in | https://www.ftii.ac.in,part-time,19754
public speaking,Creative,Arts,Interior Designer,B.Des in Interior Design,NID Ahmedabad | Pearl Academy | LPU,https://nid.edu | https://pearlacademy.com | https://www.lpu.in,full-time,257516
public speaking,Creative,Arts,Interior Designer,Diploma in Interior Design,Delhi University | NIFT Delhi | TISS Mumbai,https://www.du.ac.in | https://www.nift.ac.in | https://www.tiss.edu,part-time,48916
research,Creative,Arts,Interior Designer,B.Des in Interior Design,NID Ahmedabad | Pearl Academy | LPU,https://nid.edu | https://pearlacademy.com | https://www.lpu.in,full-time,201549
research,Creative,Arts,Interior Designer,Diploma in Interior Design,FTII Pune | Delhi University | JNU Delhi,https://www.ftii.ac.in | https://www.du.ac.in | https://www.jnu.ac.in,part-time,45177
social work,Creative,Arts,Interior Designer,B.Des in Interior Design,NID Ahmedabad | Pearl Academy | LPU,https://nid.edu | https://pearlacademy.com | https://www.lpu.in,full-time,201883
social work,Creative,Arts,Interior Designer,Diploma in Interior Design,FTII Pune | Delhi University | JNU Delhi,https://www.ftii.ac.in | https://www.du.ac.in | https://www.jnu.ac.in,part-time,59942
designing,Creative,Arts,Interior Designer,B.Des in Interior Design,NID Ahmedabad | Pearl Academy | LPU,https://nid.edu | https://pearlacademy.com | https://www.lpu.in,full-time,137092
designing,Creative,Arts,Interior Designer,Diploma in Interior Design,NIFT Delhi | JNU Delhi | Delhi University,https://www.nift.ac.in | https://www.jnu.ac.in | https://www.du.ac.in,part-time,71587
gaming,Creative,Arts,Interior Designer,B.Des in Interior Design,NID Ahmedabad | Pearl Academy | LPU,https://nid.edu | https://pearlacademy.com | https://www.lpu.in,full-time,336303
gaming,Creative,Arts,Interior Designer,Diploma in Interior Design,JNU Delhi | NIFT Delhi | Delhi University,https://www.jnu.ac.in | https://www.nift.ac.in | https://www.du.ac.in,part-time,78331
coding,Creative,Arts,Animator,B.Sc in Animation,Arena Animation University | Amity University | Jain University,https://arena-multimedia.com | https://www.amity.edu | https://www.jainuniversity.ac.in,full-time,227288
coding,Creative,Arts,Animator,Diploma in Animation,JNU Delhi | TISS Mumbai | NIFT Delhi,https://www.jnu.ac.in | https://www.tiss.edu | https://www.nift.ac.in,part-time,35356
reading,Creative,Arts,Animator,B.Sc in Animation,Arena Animation University | Amity University | Jain University,https://arena-multimedia.com | https://www.amity.edu | https://www.jainuniversity.ac.in,full-time,198113
reading,Creative,Arts,Animator,Diploma in Animation,TISS Mumbai | FTII Pune | Delhi University,https://www.tiss.edu | https://www.ftii.ac.in | https://www.du.ac.in,part-time,60941
drawing,Creative,Arts,Animator,B.Sc in Animation,Arena Animation University | Amity University | Jain University,https://arena-multimedia.com | https://www.amity.edu | https://www.jainuniversity.ac.in,full-time,284689
drawing,Creative,Arts,Animator,Diploma in Animation,NIFT Delhi | TISS Mumbai | JNU Delhi,https://www.nift.ac.in | https://www.tiss.edu | https://www.jnu.ac.in,part-time,56274
public speaking,Creative,Arts,Animator,B.Sc in Animation,Arena Animation University | Amity University | Jain University,https://arena-multimedia.com | https://www.amity.edu | https://www.jainuniversity.ac.in,full-time,262246
public speaking,Creative,Arts,Animator,Diploma in Animation,TISS Mumbai | JNU Delhi | Delhi University,https://www.tiss.edu | https://www.jnu.ac.in | https://www.du.ac.in,part-time,50546
research,Creative,Arts,Animator,B.Sc in Animation,Arena Animation University | Amity University | Jain University,https://arena-multimedia.com | https://www.amity.edu | https://www.jainuniversity.ac.in,full-time,119574
research,Creative,Arts,Animator,Diploma in Animation,FTII Pune | NIFT Delhi | TISS Mumbai,https://www.ftii.ac.in | https://www.nift.ac.in | https://www.tiss.edu,part-time,60169
social work,Creative,Arts,Animator,B.Sc in Animation,Arena Animation University | Amity University | Jain University,https://arena-multimedia.com | https://www.amity.edu | https://www.jainuniversity.ac.in,full-time,205693
social work,Creative,Arts,Animator,Diploma in Animation,NIFT Delhi | Delhi University | JNU Delhi,https://www.nift.ac.in | https://www.du.ac.in | https://www.jnu.ac.in,part-time,22261
designing,Creative,Arts,Animator,B.Sc in Animation,Arena Animation University | Amity University | Jain University,https://arena-multimedia.com | https://www.amity.edu | https://www.jainuniversity.ac.in,full-time,296458
designing,Creative,Arts,Animator,Diploma in Animation,Delhi University | FTII Pune | TISS Mumbai,https://www.du.ac.in | https://www.ftii.ac.in | https://www.tiss.edu,part-time,69211
gaming,Creative,Arts,Animator,B.Sc in Animation,Arena Animation University | Amity University | Jain University,https://arena-multimedia.com | https://www.amity.edu | https://www.jainuniversity.ac.in,full-time,162146
gaming,Creative,Arts,Animator,Diploma in Animation,Delhi University | JNU Delhi | TISS Mumbai,https://www.du.ac.in | https://www.jnu.ac.in | https://www.tiss.edu,part-time,41105
coding,Creative,Arts,Content Creator,B.A in Mass Communication,JNU Delhi | NIFT Delhi | Delhi University,https://www.jnu.ac.in | https://www.nift.ac.in | https://www.du.ac.in,full-time,210315
